track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_songs,popular,genre_pop,genre_rap,genre_dance pop,genre_hip hop,genre_pop rap,genre_rock,genre_r&b,genre_trap,genre_urban contemporary,genre_southern hip hop,genre_modern rock,genre_electro,genre_edm,genre_canadian pop,genre_house
57,52,0.702,0.842,2.0,61.0,1.0,0.0487,0.00709,0.00112,0.136,0.843,126.845,217493.0,1,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,50,0.872,0.868,10.0,48.0,0.0,0.12,0.153,2.26e-05,0.843,0.822,105.005,231213.0,2,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57,35,0.847,0.877,2.0,73.0,1.0,0.0493,0.124,0.0,0.148,0.764,131.044,217120.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,58,0.645,0.903,5.0,102.0,0.0,0.0441,0.00188,0.799,0.147,0.61,135.977,222436.0,1,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,51,0.583,0.652,7.0,79.0,1.0,0.0244,0.0405,0.000378,0.0781,0.352,97.469,249840.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,65,0.704,0.409,11.0,93.0,0.0,0.0597,0.43,0.0,0.109,0.495,113.863,292000.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,73,0.727,0.552,2.0,90.0,0.0,0.14,0.227,0.000164,0.198,0.607,168.189,289160.0,2,True,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
89,88,0.908,0.669,7.0,45.0,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4,True,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,73,0.585,0.776,5.0,77.0,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,61,0.56,0.825,11.0,58.0,1.0,0.0379,0.323,0.0,0.161,0.268,94.931,237493.0,1,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,60,0.558,0.719,2.0,70.0,1.0,0.0267,0.0367,0.0,0.115,0.371,112.027,208600.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,85,0.616,0.597,8.0,72.0,1.0,0.0415,0.691,0.0,0.104,0.362,165.508,224067.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
